,Sample
0,-7.3077926401557365
1,-10.198825341495548
2,-7.603845635384714
3,-9.260275138350721
4,-7.273882821701401
5,-10.72409338823289
6,-8.81467806892295
7,-8.867374548614348
8,-8.265715978035523
9,-8.364625148621762
10,-7.847107420894409
11,-6.528201185583456
12,-7.988870631123591
13,-8.36776068143511
14,-8.896534285027855
15,-6.511442175232279
16,-8.638973479585827
17,-7.4358432765661675
18,-8.448668488434897
19,-8.719533000345367
20,-7.949586112317805
21,-8.646893031178012
22,-9.104341464394068
23,-9.079909158776935
24,-6.529470605362773
25,-6.189949953725933
26,-9.305348588360173
27,-6.872271430081532
28,-6.273941531787832
29,-7.9105505538763365
30,-6.477496219402333
31,-8.859384146017383
32,-7.1991755279749405
33,-7.9046972119758365
34,-7.9574031671908925
35,-8.868550488365642
36,-9.942629271013438
37,-9.059753915166135
38,-7.457809456554427
39,-10.222893644333237
40,-8.53516318410531
41,-8.195020785170085
42,-7.017536149514146
43,-7.304283310138878
44,-9.010394225762086
45,-8.053901777741766
46,-8.973699601266292
47,-8.054320051653349
48,-8.654760938919306
49,-6.534412064398603
50,-7.74633016567525
51,-7.7844849677574945
52,-9.061730890074896
53,-8.377101072140563
54,-6.976574487599545
55,-8.084695550277205
56,-7.566778196047113
57,-7.971857645588725
58,-6.657411272819463
59,-8.497255815063555
60,-9.684199997285921
61,-7.927199923964275
62,-8.16551758943767
63,-6.579731089671405
64,-7.478639117022898
65,-6.486029022444557
66,-9.24430765022169
67,-8.04702098436331
68,-9.543561886768897
69,-8.272636285252286
70,-7.488102505398095
71,-7.301596787864124
72,-8.4575816630106
73,-7.318410645382416
74,-7.074431335156559
75,-7.032300012098483
76,-8.769913686666097
77,-8.000710561781297
78,-6.954998613004122
79,-8.390966995346785
80,-8.660777751094392
81,-8.63878035010916
82,-7.668562199214003
83,-7.039373396425761
84,-6.640715913761904
85,-7.292105854426399
86,-6.842913946553803
87,-6.185373514647589
88,-8.535997128018428
89,-8.878628003843511
90,-7.359447970825735
91,-7.4458099927138734
92,-6.687051582287349
93,-8.128234052062417
94,-5.465040914060683
95,-8.996804638432607
96,-6.84634011284401
97,-8.150939683199276
98,-7.184505491985417
99,-6.464743249487361
100,-4.196976320129239
101,-7.389697196707309
102,-6.6810736777554425
103,-7.053773345551171
104,-7.744571363204405
105,-9.231995053594854
106,-7.507460422864437
107,-9.440967408678217
108,-7.310739234074609
109,-5.445315213606301
110,-9.855633790872258
111,-5.456779487752432
112,-6.249906748232718
113,-5.6391705814295605
114,-9.990440756277284
115,-9.855868510845214
116,-8.19986466729273
117,-9.414250065176509
118,-7.936816159947089
119,-8.922796242623797
120,-6.323140561817269
121,-8.329789665686476
122,-8.300710448762684
123,-6.644839023903996
124,-6.503785561058084
125,-9.562223509120107
126,-9.892914925809123
127,-7.164480630321335
128,-8.205769463143058
129,-8.5357186090918
130,-7.1035547161623045
131,-8.848864404691772
132,-7.763421204329925
133,-7.031370290948351
134,-10.041068454706725
135,-7.556127303157859
136,-7.941462287872008
137,-8.84317228446133
138,-7.535266318739428
139,-6.9791992069306374
140,-7.859120995414013
141,-7.29650674055327
142,-7.626562547023501
143,-8.437952876494041
144,-6.60268337055442
145,-9.773519477972279
146,-7.259441389819591
147,-7.49123022563308
148,-7.499522592066387
149,-8.10848186169192
150,-8.23526461319263
151,-9.343366325078021
152,-9.391000125870653
153,-8.081078751144144
154,-7.391735963304172
155,-7.80904697274465
156,-7.726553198417515
157,-7.394966400396054
158,-7.919340001628363
159,-7.096721525325597
160,-5.045507878258397
161,-6.592048131618078
162,-7.935507497368492
163,-7.508874860022919
164,-8.400028632898286
165,-7.521423982066234
166,-7.691709323033241
167,-8.230759882821198
168,-8.673103569831472
169,-8.594682737131375
170,-8.368428194959566
171,-6.530606285956865
172,-6.647972944506476
173,-8.541240830327855
174,-8.139760400700602
175,-7.216185018547833
176,-6.576922536958962
177,-7.538051599282178
178,-7.805332164909338
179,-8.54043144049578
180,-8.219606503608105
181,-7.587895985200494
182,-7.229691534195165
183,-8.030754125961403
184,-8.98095466434419
185,-7.220818368819057
186,-8.060858131685057
187,-6.978213250443942
188,-10.188039377357713
189,-7.870058049063884
190,-8.004437205341608
191,-7.319933193369407
192,-6.993067327080581
193,-8.813568901596629
194,-7.866877133304493
195,-8.091883740156156
196,-8.217867147544442
197,-8.028669506386281
198,-8.578671566637944
199,-7.831203065841447
200,-9.921648346069508
201,-8.129017388779907
202,-7.136934658934133
203,-7.870260741275514
204,-8.82808539364175
205,-8.70191477925793
206,-7.641368614312027
207,-7.3750359727142545
208,-6.199594747536612
209,-7.683365147545021
210,-6.957722213472928
211,-8.14464308736546
212,-9.430215633201604
213,-8.727499571125756
214,-6.076457321682684
215,-8.811102587964525
216,-8.88259930607418
217,-6.674458149253503
218,-7.986469823391063
219,-9.425248464026598
220,-8.8161550928456
221,-8.649278570088725
222,-7.325203303290718
223,-6.372670690486713
224,-7.816705412459836
225,-7.555174037242131
226,-7.404269002259014
227,-8.720077872150958
228,-9.415704926910413
229,-7.796202250044648
230,-7.023901257899389
231,-8.015146638030402
232,-7.405934496451299
233,-9.657379324350538
234,-8.345143657506085
235,-6.159729094088535
236,-7.3174354339952785
237,-8.828741159032582
238,-7.854849019440165
239,-7.033972139216644
240,-7.28608290611014
241,-10.402092243442628
242,-8.938996282842144
243,-9.59468067401284
244,-7.594923977230852
245,-8.021236910031089
246,-7.462096295266885
247,-5.028516782113385
248,-8.922968093760966
249,-9.60174347219731
250,-8.604263823098751
251,-8.015016986127511
252,-6.718538083915974
253,-8.417083522356908
