,Sample
0,-2.2114811599433075
1,-1.6212965022686547
2,-2.460810232382101
3,-0.9993769595434092
4,-1.2928589809032875
5,-4.288777314677491
6,-2.7332975484417714
7,-0.5876029933378311
8,-1.0777198303477082
9,-1.8071459598204127
10,-2.3820006201219
11,-3.2457851895924703
12,-3.271167011028409
13,-3.827837267273212
14,-0.3320880512885358
15,-1.9162874089534545
16,-4.1346493491092735
17,-2.384631205857891
18,-2.8674177045807925
19,-0.5002736901916378
20,-3.2031254284115107
21,-2.1385378482686725
22,-2.778560222469945
23,-1.8446346365079236
24,-3.1113079410533593
25,-0.16009250446611212
26,-1.2647157603948476
27,-2.5857865572483916
28,-3.8809990318191705
29,-3.0659236148239652
30,-3.1786024699356012
31,-3.770825916271064
32,-1.217505398153591
33,-2.104764106878575
34,0.08162731885382968
35,-2.4368636294292814
36,0.13746278267912482
37,-3.4850518372084487
38,-2.88258239930906
39,-1.846243514363207
40,-1.554278110041793
41,-2.747959486176307
42,-3.6463371037380217
43,-3.2888757530431922
44,-1.8353531095628204
45,-3.05264021733131
46,-3.2178112164901567
47,-3.054260542650649
48,-2.0537874540773555
49,-4.417897067686328
50,-2.7777544791366897
51,-3.723806876387518
52,-2.3180074943701454
53,-2.641058699827814
54,-2.399154829480756
55,-1.7901156246751568
56,-3.4368819870220544
57,-2.6910562461653944
58,-3.0108421941622896
59,-3.4873103865960244
60,-1.8512765683510186
61,-2.3418285084305372
62,-1.9738662121231938
63,-1.462407477887053
64,-4.4890161048296955
65,-1.6769852869920243
66,-3.138547093927583
67,-2.7631969188861714
68,-1.8985454271856597
69,-1.7962478965589643
70,-2.9151768274568184
71,-3.690363309915937
72,-2.034732232353202
73,-4.177243129132398
74,-2.0820712323617068
75,-3.583513195865713
76,-1.7504065598096679
77,-3.163975816573913
78,-2.995679526076607
79,-5.758936120176646
80,-2.4856391805806974
81,-0.903359536292226
82,-1.9448225885228765
83,-2.938078449818912
84,-3.420134017696328
85,-1.0610144530546342
86,-1.381675970541581
87,-2.3467832460764964
88,-2.6833401890855906
89,-2.652520013484438
90,-2.5014282069769767
91,-3.120454636429748
92,-2.9930798574053314
93,-2.2907476239629316
94,-2.6693083329201466
95,-2.58524713615476
96,-1.077873625271066
97,-3.598182276646523
98,-3.198000196137705
99,-1.7004685355747657
100,-2.5355705465241103
101,-2.5982521536951526
102,-2.330553526882166
103,-2.678733817164224
104,-2.546022678205847
105,-2.375555250784478
106,-2.775626621577681
107,-0.20772088947104672
108,-2.041634888204144
109,-0.6867444280908119
110,-3.9984765571011796
111,-0.8130392553374928
112,-0.690831527176827
113,-3.21034620667696
114,-2.558352052795069
115,-2.6436442252220913
116,-2.094505556498735
117,-2.8626928714520585
118,-1.6454554768701448
119,-3.626229894202999
120,-2.1034451930651468
121,-3.0196605010673307
122,-0.745611502079125
123,0.28206609843548325
124,-1.7360364465662164
125,-0.841573412599699
126,-2.452423698068785
127,-2.6408921540102623
128,-2.6065507009192386
129,-4.049122833939714
130,-2.2357947405797565
131,-1.1899359212924792
132,-2.2589570689246985
133,-1.451058031581298
134,-1.0124591717789884
135,-4.126426705850939
136,-1.8451585954957193
137,-1.289377488721019
138,-3.8265425992626727
139,-3.2901783709935764
140,-3.913983911753177
141,-2.2306262450445766
142,-1.1563089288185822
143,-5.1492926320901224
144,-2.149648115041482
145,-1.340959684086704
146,-2.450568468507082
147,-4.056013115615711
148,-2.220820020933167
149,-0.7625017667754697
150,-1.3280909037456314
151,-0.8503862098005921
152,-3.985948296265766
153,-2.480256560259337
154,-3.5086088933912762
155,-3.4076252079641165
156,-2.7568930684598505
157,-2.1143629961442736
158,-2.7145350243176685
159,-2.836787610561915
160,-2.01147034837264
161,-2.69958546016181
162,-4.059626777754857
163,-0.24914983076899766
164,-4.010109673014145
165,-1.108641954067702
166,-0.6777647826320414
167,-3.519307950243104
168,-2.628721116302846
169,-1.5646856869034362
170,-3.1186798423912077
171,-1.6293311974805045
172,-1.2936238933242639
173,-3.0182690474638347
174,-1.7223822467430026
175,-1.4700326899196734
176,-3.5160337004468944
177,-2.1425958046136455
178,-3.4235195362961184
179,-1.3857536499700938
180,-3.9269437316517637
181,-1.9541025265040632
182,-1.4222598270760711
183,-2.3035289766377356
184,-2.1400624620529642
185,-1.8642701245001088
186,-2.4634895845675566
187,-3.48217914397435
188,-2.4922702883875085
189,-2.682314777334796
190,-2.800889322240159
191,-1.9123963342228896
192,-1.8914684951092093
193,-2.623948981515193
194,-2.022623147275567
195,-2.9520795187660553
196,-2.152877204507824
197,-2.0518609359840485
198,-1.8080549726706918
199,-0.4425291876073969
200,-0.6328197500252639
201,-1.448933965010376
202,-2.8864503562015753
203,-2.612360496669082
204,-1.9244022724074865
205,-2.400050064959951
206,-4.522033792195889
207,-2.4077659357973613
208,-1.7574473114922926
209,-2.7569536322384742
210,-2.904516059638236
211,0.24512509403280003
212,-4.030812380603175
213,-1.417958872277212
214,-2.666716836135868
215,-3.8320912791920305
216,-3.4100278088912326
217,-0.28240661227127983
218,-2.6341471246904966
219,-1.3612649159093895
220,-1.8556806703066782
221,-3.378414288689955
222,-0.12006166957201136
223,-2.330324007010527
224,-2.6340041053898458
225,-3.2579003489733647
226,-3.119260990197311
227,-2.6730645477236488
228,-2.7226783702751214
229,-1.2062136272733113
230,-2.840551275535809
231,-1.3312980385824216
232,-3.9153777655309536
233,-2.832713811559011
234,-2.5153902488967232
235,-2.1683782284078474
236,-3.1658131132005645
237,-2.8457745713061344
238,-3.3163869591504818
239,-3.419451324479821
240,-2.6313433216020945
241,-2.8737402621532837
242,-2.225831279917263
243,-4.138305082248672
244,-2.815145911944441
245,-2.6846484051689687
246,-2.840902489472204
247,-4.550735354797962
248,-3.336946316880846
249,-3.3820965530431586
250,-2.927323061767854
251,-2.8689379455921604
252,-1.9279747953687636
253,-0.9034793638669198
254,-2.892390845993363
255,-2.20811478168319
256,-1.5532924882851302
257,-2.4843957578737417
258,-1.648058952716562
259,-1.9420888364684739
260,-1.5127616791019867
261,-2.7307650679624835
262,-2.1419501244768377
263,-1.6201076834431358
264,-2.386162879065518
265,-3.797950761433291
266,-2.331449759765425
267,-2.3443580050827917
268,-3.6727173134490583
269,-2.859751950777504
270,-1.7060892697362513
271,-2.12610598572457
272,-0.36585915814321845
273,-3.4103918153925266
274,-1.3230555723020487
275,-3.0315641046017046
276,-2.4763103089144836
277,-1.9693442867943278
278,-4.090941492514894
279,-3.741270979556533
280,-1.3896274129230146
281,-3.3644339149430933
282,-3.1015641424156044
283,-2.9743813817808205
284,-1.7718279729040103
285,-2.444389065007519
286,-1.754172104646726
287,-1.2375907487824191
288,-3.2532936907913537
289,-2.3070719074715846
290,-4.2003643762649485
291,-2.8117296344105656
292,-3.6213436318756083
293,-3.127037989663335
294,-2.92802875817757
295,-0.457115895103372
296,-3.4956023114188834
297,-1.111529151858416
298,-2.244245318344442
299,-0.4924235196147779
300,-4.9387348428571105
301,-4.825067022590741
302,-3.0844208625552882
303,-0.8020037053284312
304,-2.948949632392491
305,-3.7103353747100716
306,-2.836440412995749
307,-3.3279180988052026
308,-2.520083173383367
309,-2.0848300477102466
310,-3.2422992243079216
311,-1.5403741776469049
312,-2.3216645571367707
313,-3.661212681295922
314,-1.7533359011073766
315,-3.645418861426851
316,-4.3684339713245866
317,-1.881995389596658
318,-2.0526509885392072
319,-2.126404513065053
