,Sample
0,-8.052051711427582
1,-7.478297175840753
2,-7.394109254225307
3,-5.245220156970621
4,-5.292861495977836
5,-5.846522348815505
6,-4.986282847623155
7,-5.260873763123801
8,-6.4184998540868365
9,-5.73313687312314
10,-5.301585890418815
11,-8.551171921173589
12,-6.355175149091014
13,-5.329185631477621
14,-10.10488090829249
15,-5.557394795219621
16,-8.854881747226791
17,-8.78249220842562
18,-7.168574434155442
19,-4.531148043810722
20,-9.176540915652051
21,-6.708512690907738
22,-6.649049325188499
23,-6.086465348873913
24,-3.940668875934107
25,-9.577762753711724
26,-8.155001358888837
27,-5.286584951451215
28,-7.03861439985358
29,-4.6210573032541244
30,-6.6229388599681664
31,-8.592899072770647
32,-5.940277981486181
33,-5.059086303353449
34,-7.633813657415752
35,-6.037421024490155
36,-6.982307139780443
37,-7.906674861070508
38,-7.736809281507136
39,-6.503755438424283
40,-2.382651256242303
41,-9.314977879038668
42,-8.314553094757994
43,-4.9545862114296355
44,-6.972111998104858
45,-2.61431518438744
46,-6.461825883101506
47,-6.4387962904035625
48,-6.9296474867659645
49,-7.204331544900185
50,-6.302262978497003
51,-6.254702778459763
52,-6.0712686931534785
53,-6.589274357976328
54,-6.678228471750754
55,-6.79036164073714
56,-6.549274365948686
57,-6.965981297497292
58,-6.6728247051360405
59,-5.407578620102522
60,-8.03952621713162
61,-6.9978572070045555
62,-7.28056595496191
63,-3.2260748077656336
64,-7.374827694545702
65,-4.72133771495021
66,-5.615960535743593
67,-4.45871714842459
68,-7.027669004299985
69,-7.088183319694187
70,-7.943691158504299
71,-6.806628257185701
72,-8.8630362681639
73,-5.7124886054781125
74,-7.872225490708935
75,-5.904181211450967
76,-6.711170468508329
77,-5.133827708481978
78,-4.750778891461644
79,-5.886539814933935
80,-7.53359257360082
81,-4.955563424544406
82,-5.005310679624204
83,-6.125368548419077
84,-5.787482173552582
85,-6.466299170838415
86,-7.063463509833321
87,-6.711924098396033
88,-6.052528958335174
89,-7.062826383880792
90,-6.6764227759612815
91,-5.534396916482919
92,-8.015821417318374
93,-9.082737608477242
94,-6.742335272303281
95,-7.4094259637575215
96,-3.51661294428193
97,-5.841764630930589
98,-7.612025421298411
99,-4.734954470103068
100,-5.8723039419503795
101,-7.310939059630945
102,-7.733712626784258
103,-4.294990830052254
104,-8.111742755403366
105,-5.706348181266824
106,-6.042787610570967
107,-7.480250656765677
108,-5.285956625423759
109,-3.652282486008079
110,-6.874655330682208
111,-8.86725981836369
112,-9.64211784653818
113,-6.100776601051867
114,-6.135755007874757
115,-5.79491546671814
116,-5.411453334193491
117,-6.84515184293477
118,-5.422842399849747
119,-6.4938602176136655
120,-7.621873135932345
121,-8.010454583604004
122,-9.154982198672187
123,-8.628069760447143
124,-6.478668270988478
125,-7.929095048948416
126,-6.854562867711013
127,-6.726468386061503
128,-9.024252559391611
129,-6.032911583334908
130,-4.8712781308369335
131,-7.187921804127169
132,-3.3531370463439725
133,-8.702810844146471
134,-5.461056460006999
135,-6.597530064433337
136,-4.946039119944698
137,-3.9110627658199646
138,-4.8799343540022955
139,-7.937178069810679
140,-6.870759891846754
141,-6.671440627861698
142,-7.406324895646457
143,-7.164096485934501
144,-6.349799780466339
