,Sample
0,-10.236894897246534
1,-9.932168346311965
2,-10.503864927011044
3,-7.6454750311505375
4,-8.686048840684675
5,-6.600128630317805
6,-10.473715519499772
7,-7.041623931121639
8,-7.163395843989997
9,-8.600684883846627
10,-8.835508005277706
11,-8.953093051065137
12,-8.358321070109108
13,-8.914217575355053
14,-9.20937985729608
15,-9.393983347739281
16,-10.33726835231715
17,-8.284050207182565
18,-8.300350348007084
19,-8.86116409302116
20,-6.8332738035879785
21,-9.220672511397956
22,-6.9271495552988185
23,-9.227192044341045
24,-7.572101073731572
25,-8.400738717995583
26,-6.358124187774549
27,-8.20539565162702
28,-9.653870717369411
29,-7.5144529196240075
30,-8.584244265121153
31,-8.017950295860132
32,-6.5300203037633775
33,-8.358724118548741
34,-8.28837447122797
35,-9.350329578471388
36,-7.77479748061643
37,-8.07354112266306
38,-8.774637188463188
39,-8.552220958665348
40,-6.569046656148798
41,-7.342105806711133
42,-6.662195130698264
43,-12.941274998362866
44,-7.84310535371397
45,-9.397214022852635
46,-3.8964019427319894
47,-7.522927944716298
48,-6.941979632808496
49,-8.512269110722094
50,-7.226483886154838
51,-8.25673548028168
52,-8.576222720004337
53,-7.855895823639616
54,-6.836798293688748
55,-9.411842450912813
56,-8.05914927036112
57,-8.289528783064052
58,-7.091147674307722
59,-8.341994438576187
60,-8.837497584269562
61,-10.82970998674735
62,-7.832078162342296
63,-7.897261860492806
64,-9.613623310587819
65,-5.62390727507219
66,-6.676814137375545
67,-8.57332449278366
68,-9.394351901461308
69,-9.31336351195967
70,-7.048862194008001
71,-10.50083263129257
72,-7.319010838703659
73,-8.49757029232443
74,-6.326090798896688
75,-10.113188634236721
76,-8.820544043693115
77,-8.41860188131314
78,-6.743705780295985
79,-10.326712081546637
80,-10.865877474569585
81,-9.11227118762028
82,-6.289026895637938
83,-10.28148464339894
84,-7.84652590635674
85,-7.106365645782041
86,-8.55176352081986
87,-9.426305192037029
88,-12.061070686899502
89,-8.76809582160377
90,-8.371377052529136
91,-11.149884365360428
92,-7.787794839829682
93,-11.672105661557932
94,-7.997858301605595
95,-8.867998238159702
96,-9.323623674169319
97,-8.355255344713333
98,-9.707792196891159
99,-9.088248945046589
100,-10.05371329944459
101,-9.856062229918523
102,-9.619276252666609
103,-7.384496911968836
104,-9.242266731690606
105,-6.968519576480212
106,-8.267846354558877
107,-11.165237195298264
108,-8.173643138315345
109,-8.377488607390106
110,-7.211887917685168
111,-9.17119957927255
112,-8.880971880021319
113,-8.435712023911346
114,-10.130866137623078
115,-10.952212177737104
116,-8.225421702470818
117,-8.660031853809043
118,-8.855773669475848
119,-9.779156150934453
120,-10.209190881828409
121,-9.998717815610693
122,-7.070521909385716
123,-7.037389393828703
124,-8.402788008893081
125,-7.472799001261537
126,-8.828969388516793
127,-8.766951067696125
128,-7.29019734540953
129,-7.580696957586639
130,-8.755275801544421
131,-6.530723643350593
132,-8.370104370551394
133,-9.209924437280163
134,-9.088178030306914
135,-8.355644860272836
136,-8.755863277361765
137,-8.41433691767501
138,-9.287489447067651
139,-10.41079144745462
140,-8.483777275657868
141,-7.3850478604468295
142,-8.315854134145338
143,-6.672046789542973
144,-10.943067813152286
145,-9.6794062264753
146,-10.637518505084191
147,-8.432919022151733
148,-7.671755583144229
149,-7.730075383836063
150,-6.711796173029277
151,-11.379760460569898
152,-8.543175816556328
153,-8.335149753173427
154,-9.498281141238827
155,-8.092884420892839
156,-11.537734547502275
157,-10.27473783967875
158,-10.24302289563436
159,-10.302652757259668
160,-9.111643541314846
161,-8.163904994640932
162,-6.567187230785823
163,-8.353519870509373
164,-8.00451790152174
165,-8.505912179420655
166,-8.171631012541225
167,-9.03714191850775
168,-8.634369859628379
169,-9.464016650446359
170,-7.000882544743733
171,-8.22970415965512
172,-10.584001664754986
173,-10.224140994469472
174,-8.649424139018725
175,-7.213646295266883
176,-6.7749699502911875
177,-8.566963810854793
178,-9.707277410499746
179,-7.965132713567676
180,-7.34686095362923
181,-10.24158424655781
182,-8.97269969531354
183,-9.714107055396925
184,-5.431655978255032
185,-7.5112294632267185
186,-9.047725667846752
187,-10.447205907191961
188,-7.003511267788154
