,Sample
0,-8.540379350795058
1,-9.503004969436157
2,-9.764323953856298
3,-9.901359935100835
4,-8.834490372179062
5,-11.46534107962287
6,-8.53669899174136
7,-8.727249613937856
8,-7.098322558114318
9,-8.442453678968372
10,-8.326852673195773
11,-8.277680609931563
12,-7.5533401618065135
13,-10.143112007249607
14,-9.540569767829338
15,-7.92146148831172
16,-9.721096672703139
17,-9.620211078458555
18,-8.407274795159196
19,-8.400630496255634
20,-10.462689330126723
21,-9.316587565982896
22,-8.25718220353303
23,-7.599635172340867
24,-8.648931105870307
25,-9.687697364158346
26,-9.060571975084915
27,-10.27622729037411
28,-8.58565284863159
29,-9.12820609676926
30,-9.844974747998037
31,-10.115502474474567
32,-8.548705956873079
33,-6.482191230655292
34,-7.048228973752529
35,-7.898566103028618
36,-8.476563309729372
37,-10.006254724252653
38,-9.485946163412788
39,-9.32938393891113
40,-9.41251640398383
41,-8.76099451607732
42,-8.502963751193416
43,-8.678611942658836
44,-9.482240249082501
45,-9.665495587918446
46,-7.840402780608313
47,-10.609387951499311
48,-10.18766079068442
49,-8.377144240181329
50,-9.702495915443768
51,-9.0816757295517
52,-9.762535305452197
53,-10.084457996356761
54,-8.856818457323705
55,-8.874191190501593
56,-8.72680630716038
57,-7.3019535952377534
58,-10.694878635916753
59,-10.459633098341065
60,-8.993687018739175
61,-8.496475648104628
62,-9.25784589130801
63,-8.856221478250383
64,-9.321777802304073
65,-10.211671240110032
66,-8.109749131549076
67,-8.404036080252716
68,-8.926029994796629
69,-8.478964485819082
70,-8.69228015538479
71,-6.954887070837955
72,-8.721556760294575
73,-8.9034862752766
74,-8.311462648634931
75,-9.840888800193081
76,-9.119100476485858
77,-8.389819748860956
78,-8.881733766083878
79,-10.730568234441543
80,-8.157812855861884
81,-8.04838503437487
82,-9.109514816259264
83,-9.829550423872822
84,-8.815942787408066
85,-9.545536751753513
86,-8.070511504107053
87,-9.445998285510036
88,-8.580376629226643
89,-10.469781790657716
90,-8.153943027864852
91,-7.760219772503391
92,-9.448697179225174
93,-9.07562268037912
94,-7.660411650720353
95,-6.994672726229964
96,-9.290137845650353
97,-7.275579291371734
98,-6.878770322149407
99,-9.323296938131536
100,-8.336705189735106
101,-8.137423178381544
102,-9.08423038356019
103,-7.412866098698151
104,-7.823625780138526
105,-9.29304254337491
106,-8.667921986567313
107,-8.084888262387727
108,-8.715467444068578
109,-7.891075800666773
110,-8.194770449186779
111,-9.13047026376434
112,-10.321548790060541
113,-7.641155027073838
114,-7.584003029881302
115,-8.315621723292438
116,-8.370226307009037
117,-10.020181938101823
118,-9.985059848575283
119,-8.89060273504962
120,-8.987911361439632
121,-9.415337639662594
122,-8.456821238839003
123,-10.745461947201633
124,-9.450645719447065
125,-8.772498583828549
126,-9.420876641199602
127,-10.198580372897348
128,-9.872355589758014
129,-9.147084876546513
130,-9.892153271117872
131,-7.9124451293711635
132,-9.393092672803046
133,-8.701110992850943
134,-7.843235866282089
135,-9.847207138257215
136,-9.85951843905222
137,-8.17254445723033
138,-9.021257008867686
139,-9.734843922263664
140,-7.219471045692184
141,-7.841984770081947
142,-8.864399750626644
143,-8.788120296421868
144,-9.467532552888443
145,-7.306602429858958
146,-7.488480632526419
147,-8.381051508592165
148,-8.416653777479096
149,-8.589005394447726
150,-10.655695683848062
151,-8.357156444827588
152,-8.364027718788408
153,-9.56848010971997
154,-8.124341350959483
155,-8.46666202851723
156,-9.768993781752286
157,-7.520179353970249
158,-9.013263963418881
159,-8.615728999806311
160,-8.78719688300396
161,-8.0861859945467
162,-11.4132893543858
163,-9.708465995561859
164,-9.502827341096468
165,-8.429897360407194
166,-9.36620093230154
167,-8.404787869167892
168,-10.12101590280228
169,-7.93819328967381
170,-6.220716631019176
171,-9.939803310871914
172,-9.79738474706595
173,-8.89801495477403
174,-7.498511777251511
175,-9.398642994929034
176,-9.395910049344865
177,-8.397322031670775
178,-10.769038064620426
179,-10.986773870791193
180,-11.125925718864545
181,-8.863322673568133
182,-7.367214712817397
183,-8.950471960393356
184,-8.2490866894549
185,-7.619859691352673
186,-7.7138905805989335
187,-10.068861707198176
188,-9.944034690658352
189,-7.882086337361701
190,-9.01976577841195
191,-6.071603393777471
192,-6.250660633726939
193,-10.065553460191694
194,-8.712209247357608
195,-10.644620521113536
196,-8.665560681374936
197,-9.578693782729928
198,-5.572992390618404
199,-7.744186751132686
200,-9.075127694093574
201,-10.37391638577843
202,-9.563938275469472
203,-11.90179823670805
204,-8.764651793642363
205,-10.404098862879538
206,-8.233741517396048
207,-9.148377165411459
208,-7.763121222021607
209,-8.72709504841678
210,-10.042475762961823
211,-9.922935867030368
212,-9.302093199017078
213,-7.337149769782142
214,-8.084061935187755
215,-9.892729831778867
216,-10.396837964018959
217,-10.054626947964211
218,-7.80432275796756
219,-10.25253449651021
220,-10.10844610771704
221,-9.71155523331906
222,-8.473724532299237
223,-8.440267084000554
224,-8.921489474125437
225,-8.46987128432988
226,-7.603517418135064
227,-9.459366333461979
228,-7.529317005689195
229,-8.697152387590577
230,-11.085792981540695
231,-8.060707760517534
232,-10.077585990799683
233,-8.58906187864259
234,-8.797370400495291
235,-9.754779792157976
236,-9.021990051408336
237,-9.175369657522094
238,-7.622918483186552
239,-8.895611698404581
240,-8.55391621042165
241,-6.347933055870018
242,-8.959151156696079
243,-8.437423499256042
244,-9.347855262703721
245,-8.6331986839059
246,-8.453677136919945
247,-8.408676736748372
248,-11.458199411709513
249,-9.957766843377195
250,-10.613034973836333
251,-9.37777263425711
252,-8.624693842202191
253,-8.277502084719417
254,-9.261685215809429
255,-10.00812633810061
256,-8.78162864903921
257,-10.599940175957762
258,-9.67340596180972
259,-8.217582357015484
260,-6.928513966184707
261,-9.187584207943601
262,-9.592025266500492
263,-8.599415026850792
264,-8.61791313973237
265,-8.451431344464392
266,-7.749722974925791
267,-10.84553310817515
268,-8.317724600776659
269,-8.578613567333626
270,-8.645396733680146
271,-11.195483315398992
272,-8.281939448784591
273,-8.881714804916301
274,-9.940248096793338
275,-8.396107173286635
276,-8.024011148213408
277,-8.745772471212973
278,-9.40512142704824
279,-7.741437803528863
280,-9.863957980389886
281,-9.360288513587447
282,-9.23334376941474
283,-9.099485278642138
284,-7.799236992911295
285,-10.408905384067277
286,-8.18831404596294
287,-7.862998720954867
288,-8.840739112911233
289,-10.563743764152838
290,-9.745873209951824
291,-8.87749290656037
292,-10.640383297225316
293,-7.893100352605746
294,-8.80639388871613
295,-10.317733171085733
296,-10.878692521408187
297,-9.235696778583785
298,-9.946229766377359
299,-10.665268944247877
300,-10.250294185000945
301,-8.925425342236569
302,-8.878292118843998
303,-11.348736595965697
304,-8.491585535169419
305,-9.299984862436402
306,-10.119352835991982
307,-7.929399370660093
308,-10.922314673454487
309,-7.271738560584325
310,-8.186218976203005
311,-9.939261116933329
312,-8.399065156569414
313,-8.772888007056215
314,-8.775707198271263
315,-6.183345856655659
316,-8.696423578039667
317,-9.1997012168301
318,-10.056688478268903
319,-8.650760178029087
320,-7.589953968610132
321,-8.880669446625497
322,-8.729639108997487
323,-8.119865536598729
324,-7.864290772114268
325,-10.149964088810025
326,-8.511530232633906
327,-8.552722282534603
328,-9.631865540899003
329,-9.77382289854197
330,-7.812023758345754
331,-7.094236904754757
332,-9.11559995644624
333,-9.028819607665898
334,-8.42915716913705
335,-9.454622545647812
336,-8.893537207464961
337,-10.48401940964839
338,-9.854966411818385
339,-9.60604847837734
340,-10.515150757207
341,-8.312816408431734
342,-8.957747283173749
343,-7.923828221004096
344,-10.159978157121447
345,-9.745691233414695
346,-6.561515312121255
347,-10.345580111970559
348,-10.019856226700243
349,-10.614001021733495
350,-7.893478998904324
351,-10.701227191024143
352,-9.966307524954885
353,-8.967120466778045
354,-9.146372694857883
355,-7.758919693678427
356,-9.657937343638455
357,-10.784849032651469
358,-7.455470309502112
359,-9.687455287588048
360,-9.386280164868804
361,-7.500581845007248
362,-9.253435719642171
363,-9.087646772467862
364,-8.062545615252276
365,-8.852245245092025
366,-8.407027295121116
367,-7.7579498511383935
368,-9.742272282788646
369,-7.109339928471924
370,-10.256377135592407
371,-9.316618889783554
372,-11.25567048901354
373,-8.362931509007064
374,-7.90768657748621
375,-9.76354271371137
376,-8.46412242213376
377,-8.368405404204982
378,-10.504720341311945
379,-8.367208753613872
380,-10.029606645259344
381,-8.201630544145084
382,-8.580004793034703
383,-9.16444430325997
384,-7.075528415352301
385,-11.05840315581954
386,-8.731804587605662
387,-9.519008509860672
388,-9.254837894200033
389,-9.437177014383504
390,-10.307015737241292
391,-7.666287409295184
392,-9.094779552785615
393,-8.703167608824968
394,-9.439860368811157
395,-8.495801052853006
396,-8.350234179369398
397,-10.39075494085002
398,-9.041011373816005
399,-7.715127375198286
400,-7.617611344754524
401,-6.976395900549976
402,-8.002375666279764
403,-8.256543935720764
404,-6.926679521078572
405,-8.601875431048569
406,-7.302500196418426
407,-8.048569962322262
408,-8.72553533789876
409,-8.396463290766768
410,-6.691558001668733
411,-8.338296273251443
412,-9.607388678864623
413,-8.568413840455051
414,-8.387774436336532
415,-9.334459555032153
416,-8.57680054450829
